ContractSymbol,name_of_marketwatch,ExchangeSymbol
ACC,FOStocks,NSE
ADANIENT,FOStocks,NSE
ADANIPORT,FOStocks,NSE
ADANIPOWE,FOStocks,NSE
AMARAJABA,FOStocks,NSE
AMBUJACEM,FOStocks,NSE
APOLLOHOS,FOStocks,NSE
APOLLOTYR,FOStocks,NSE
ASHOKLEY,FOStocks,NSE
ASIANPAIN,FOStocks,NSE
AUROPHARM,FOStocks,NSE
AXISBANK,FOStocks,NSE
BAJAJ-AUT,FOStocks,NSE
BAJAJFINS,FOStocks,NSE
BAJFINANC,FOStocks,NSE
BALKRISIN,FOStocks,NSE
BANKBAROD,FOStocks,NSE
BANKNIFTY,FOStocks,NSE
BATAINDIA,FOStocks,NSE
BEL,FOStocks,NSE
BERGEPAIN,FOStocks,NSE
BHARATFOR,FOStocks,NSE
BHARTIART,FOStocks,NSE
BHEL,FOStocks,NSE
BIOCON,FOStocks,NSE
BOSCHLTD,FOStocks,NSE
BPCL,FOStocks,NSE
BRITANNIA,FOStocks,NSE
CADILAHC,FOStocks,NSE
CANBK,FOStocks,NSE
CENTURYTE,FOStocks,NSE
CESC,FOStocks,NSE
CHOLAFIN,FOStocks,NSE
CIPLA,FOStocks,NSE
COALINDIA,FOStocks,NSE
COLPAL,FOStocks,NSE
CONCOR,FOStocks,NSE
CUMMINSIN,FOStocks,NSE
DABUR,FOStocks,NSE
DIVISLAB,FOStocks,NSE
DLF,FOStocks,NSE
DRREDDY,FOStocks,NSE
EICHERMOT,FOStocks,NSE
EQUITAS,FOStocks,NSE
ESCORTS,FOStocks,NSE
EXIDEIND,FOStocks,NSE
FEDERALBN,FOStocks,NSE
GAIL,FOStocks,NSE
GLENMARK,FOStocks,NSE
GMRINFRA,FOStocks,NSE
GODREJCP,FOStocks,NSE
GRASIM,FOStocks,NSE
HAVELLS,FOStocks,NSE
HCLTECH,FOStocks,NSE
HDFC,FOStocks,NSE
HDFCBANK,FOStocks,NSE
HEROMOTOC,FOStocks,NSE
HINDALCO,FOStocks,NSE
HINDPETRO,FOStocks,NSE
HINDUNILV,FOStocks,NSE
IBULHSGFI,FOStocks,NSE
ICICIBANK,FOStocks,NSE
ICICIPRUL,FOStocks,NSE
IDEA,FOStocks,NSE
IDFCFIRST,FOStocks,NSE
IGL,FOStocks,NSE
INDIGO,FOStocks,NSE
INDUSINDB,FOStocks,NSE
INFRATEL,FOStocks,NSE
INFY,FOStocks,NSE
IOC,FOStocks,NSE
ITC,FOStocks,NSE
JINDALSTE,FOStocks,NSE
JSWSTEEL,FOStocks,NSE
JUBLFOOD,FOStocks,NSE
JUSTDIAL,FOStocks,NSE
KOTAKBANK,FOStocks,NSE
LICHSGFIN,FOStocks,NSE
LT,FOStocks,NSE
LTFH,FOStocks,NSE
LUPIN,FOStocks,NSE
MANAPPURA,FOStocks,NSE
MARICO,FOStocks,NSE
MARUTI,FOStocks,NSE
MCDOWELL-,FOStocks,NSE
MFSL,FOStocks,NSE
MGL,FOStocks,NSE
MINDTREE,FOStocks,NSE
MM,FOStocks,NSE
MMFIN,FOStocks,NSE
MOTHERSUM,FOStocks,NSE
MRF,FOStocks,NSE
MUTHOOTFI,FOStocks,NSE
NATIONALU,FOStocks,NSE
NCC,FOStocks,NSE
NESTLEIND,FOStocks,NSE
NIFTY50,FOStocks,NSE
NIITTECH,FOStocks,NSE
NMDC,FOStocks,NSE
NTPC,FOStocks,NSE
OIL,FOStocks,NSE
ONGC,FOStocks,NSE
PAGEIND,FOStocks,NSE
PEL,FOStocks,NSE
PETRONET,FOStocks,NSE
PFC,FOStocks,NSE
PIDILITIN,FOStocks,NSE
PNB,FOStocks,NSE
POWERGRID,FOStocks,NSE
PVR,FOStocks,NSE
RAMCOCEM,FOStocks,NSE
RBLBANK,FOStocks,NSE
RECLTD,FOStocks,NSE
RELIANCE,FOStocks,NSE
SAIL,FOStocks,NSE
SBIN,FOStocks,NSE
SHREECEM,FOStocks,NSE
SIEMENS,FOStocks,NSE
SRF,FOStocks,NSE
SRTRANSFI,FOStocks,NSE
SUNPHARMA,FOStocks,NSE
SUNTV,FOStocks,NSE
TATACHEM,FOStocks,NSE
TATACONSU,FOStocks,NSE
TATAMOTOR,FOStocks,NSE
TATAPOWER,FOStocks,NSE
TATASTEEL,FOStocks,NSE
TCS,FOStocks,NSE
TECHM,FOStocks,NSE
TITAN,FOStocks,NSE
TORNTPHAR,FOStocks,NSE
TORNTPOWE,FOStocks,NSE
TVSMOTOR,FOStocks,NSE
UBL,FOStocks,NSE
UJJIVAN,FOStocks,NSE
ULTRACEMC,FOStocks,NSE
UPL,FOStocks,NSE
VEDL,FOStocks,NSE
VOLTAS,FOStocks,NSE
WIPRO,FOStocks,NSE
YESBANK,FOStocks,NSE
ZEEL,FOStocks,NSE
