Symbol,Date,Open,High,Low,Close,EMA_High,EMA_Low
ULTRACEMC,20200305  09:15:00,4182.0,4182.0,4230.0,4199.3,,
ULTRACEMC,20200305  09:20:00,4199.25,4189.0,4206.0,4191.4,,
ULTRACEMC,20200305  09:25:00,4190.2,4182.05,4198.95,4188.35,,
ULTRACEMC,20200305  09:30:00,4185.75,4182.0,4203.25,4195.0,,
ULTRACEMC,20200305  09:35:00,4193.3,4180.15,4198.7,4185.3,,
ULTRACEMC,20200305  09:40:00,4185.25,4175.0,4187.7,4176.8,,
ULTRACEMC,20200305  09:45:00,4176.8,4160.05,4176.8,4168.75,,
ULTRACEMC,20200305  09:50:00,4167.5,4153.0,4169.95,4155.0,,
ULTRACEMC,20200305  09:55:00,4155.0,4151.7,4173.1,4172.0,,
ULTRACEMC,20200305  10:00:00,4173.65,4158.85,4173.65,4159.75,,
ULTRACEMC,20200305  10:05:00,4159.3,4155.7,4168.0,4166.4,,
ULTRACEMC,20200305  10:10:00,4166.5,4160.75,4169.1,4166.65,4169.187499999999,4187.933333333333
ULTRACEMC,20200305  10:15:00,4165.1,4164.0,4179.85,4173.15,4168.389423076922,4186.689743589744
ULTRACEMC,20200305  10:20:00,4173.15,4170.0,4190.0,4188.2,4168.637204142011,4187.199013806706
ULTRACEMC,20200305  10:25:00,4188.15,4188.15,4201.65,4200.75,4171.639172735548,4189.4222424518275
ULTRACEMC,20200305  10:30:00,4199.7,4174.3,4202.0,4185.05,4172.048530776233,4191.357282074623
ULTRACEMC,20200305  10:35:00,4184.95,4181.6,4189.1,4187.0,4173.517987579889,4191.010007909296
ULTRACEMC,20200305  10:40:00,4186.3,4182.3,4202.0,4199.65,4174.869066413753,4192.700775923251
ULTRACEMC,20200305  10:45:00,4199.1,4198.05,4214.0,4208.0,4178.4353638885605,4195.977579627366
ULTRACEMC,20200305  10:50:00,4208.45,4205.05,4218.7,4208.6,4182.529923290321,4199.473336607772
ULTRACEMC,20200305  10:55:00,4208.05,4196.3,4213.0,4207.45,4184.648396630271,4201.554361745038
ULTRACEMC,20200305  11:00:00,4207.4,4205.0,4222.3,4208.0,4187.779412533307,4204.745998399647
ULTRACEMC,20200305  11:05:00,4207.0,4195.85,4210.0,4196.1,4189.021041374336,4205.554306338163
ULTRACEMC,20200305  11:10:00,4198.95,4189.9,4202.7,4197.0,4189.156265778284,4205.1151822861375
ULTRACEMC,20200305  11:15:00,4196.0,4196.0,4207.05,4202.0,4190.20914796624,4205.412846549809
ULTRACEMC,20200305  11:20:00,4202.0,4202.0,4209.9,4208.0,4192.023125202203,4206.103177849838
ULTRACEMC,20200305  11:25:00,4208.0,4201.05,4210.0,4205.0,4193.411875171095,4206.702688949863
ULTRACEMC,20200305  11:30:00,4205.05,4205.05,4216.0,4211.4,4195.202355914003,4208.133044496038
ULTRACEMC,20200305  11:35:00,4212.0,4208.0,4217.0,4216.0,4197.171224234926,4209.497191496647
ULTRACEMC,20200305  11:40:00,4216.0,4206.0,4220.0,4210.25,4198.529497429553,4211.113008189471
ULTRACEMC,20200305  11:45:00,4212.0,4203.0,4212.0,4205.65,4199.217267055776,4211.249468468014
ULTRACEMC,20200305  11:50:00,4205.0,4198.0,4210.0,4205.0,4199.029995201041,4211.0572425498585
ULTRACEMC,20200305  11:55:00,4202.85,4201.9,4207.85,4204.45,4199.471534400881,4210.5638206191115
ULTRACEMC,20200305  12:00:00,4202.55,4196.2,4212.0,4212.0,4198.96822141613,4210.784771293094
ULTRACEMC,20200305  12:05:00,4211.45,4205.55,4213.9,4209.2,4199.980802736725,4211.264037248003
ULTRACEMC,20200305  12:10:00,4209.15,4204.7,4211.9,4208.0,4200.7068330849215,4211.3618776713865
ULTRACEMC,20200305  12:15:00,4208.0,4205.15,4214.4,4211.5,4201.390397225703,4211.829281106558
ULTRACEMC,20200305  12:20:00,4211.5,4203.8,4214.0,4209.9,4201.761105344825,4212.163237859395
ULTRACEMC,20200305  12:25:00,4209.9,4209.9,4214.5,4213.25,4203.013242984083,4212.52273972718
ULTRACEMC,20200305  12:30:00,4211.7,4207.3,4214.0,4214.0,4203.672744063455,4212.750010538383
ULTRACEMC,20200305  12:35:00,4213.8,4201.7,4214.2,4207.95,4203.36924497677,4212.973085840171
ULTRACEMC,20200305  12:40:00,4205.9,4197.0,4214.5,4213.25,4202.38936113419,4213.207995710914
ULTRACEMC,20200305  12:45:00,4210.4,4210.4,4217.2,4214.1,4203.6217671135455,4213.822150216927
ULTRACEMC,20200305  12:50:00,4215.0,4212.0,4217.7,4212.1,4204.910726019154,4214.418742491246
ULTRACEMC,20200305  12:55:00,4212.1,4211.15,4216.55,4212.05,4205.8706143239,4214.746628261823
ULTRACEMC,20200305  13:00:00,4213.7,4211.0,4214.9,4213.85,4206.659750581761,4214.770223913851
ULTRACEMC,20200305  13:05:00,4214.15,4210.0,4217.0,4212.0,4207.173635107643,4215.113266388643
ULTRACEMC,20200305  13:10:00,4212.0,4210.1,4215.0,4215.0,4207.623845091083,4215.09584079039
ULTRACEMC,20200305  13:15:00,4215.0,4213.0,4220.0,4216.95,4208.450945846301,4215.850326822638
ULTRACEMC,20200305  13:20:00,4216.0,4214.05,4219.55,4215.3,4209.312338793024,4216.419507311462
ULTRACEMC,20200305  13:25:00,4215.25,4213.55,4217.5,4215.0,4209.96428667102,4216.585736955853
ULTRACEMC,20200305  13:30:00,4214.15,4212.05,4218.0,4215.0,4210.285165644709,4216.8033158857215
ULTRACEMC,20200305  13:35:00,4212.7,4208.0,4216.75,4213.75,4209.933601699369,4216.795113441764
ULTRACEMC,20200305  13:40:00,4213.0,4207.4,4214.5,4207.4,4209.543816822543,4216.4420190661085
ULTRACEMC,20200305  13:45:00,4207.0,4186.85,4207.3,4193.7,4206.052460388306,4215.035554594399
ULTRACEMC,20200305  13:50:00,4193.0,4185.05,4210.0,4210.0,4202.821312636259,4214.260853887568
ULTRACEMC,20200305  13:55:00,4210.0,4201.0,4218.0,4211.5,4202.541110692219,4214.836107135635
ULTRACEMC,20200305  14:00:00,4211.95,4202.95,4214.0,4209.1,4202.60401673957,4214.707475268614
ULTRACEMC,20200305  14:05:00,4209.4,4201.0,4214.5,4209.5,4202.357244933482,4214.6755559965195
ULTRACEMC,20200305  14:10:00,4208.7,4205.0,4211.2,4207.85,4202.763822636023,4214.140855073978
