Symbol,Date,Open,High,Low,Close,EMA_High,EMA_Low
LTFH,20200305  09:15:00,106.0,105.85,107.5,106.2,,
LTFH,20200305  09:20:00,106.25,105.6,106.5,105.65,,
LTFH,20200305  09:25:00,105.65,105.4,105.9,105.8,,
LTFH,20200305  09:30:00,105.8,105.0,105.8,105.3,,
LTFH,20200305  09:35:00,105.4,104.8,105.75,105.3,,
LTFH,20200305  09:40:00,105.3,104.6,105.3,105.0,,
LTFH,20200305  09:45:00,104.95,104.8,105.35,104.9,,
LTFH,20200305  09:50:00,104.95,104.65,105.0,104.75,,
LTFH,20200305  09:55:00,104.75,104.3,104.9,104.8,,
LTFH,20200305  10:00:00,104.8,104.55,105.0,104.9,,
LTFH,20200305  10:05:00,104.85,104.7,105.25,104.85,,
LTFH,20200305  10:10:00,104.9,104.7,105.1,105.1,104.91250000000001,105.6125
LTFH,20200305  10:15:00,105.1,104.0,105.1,104.1,104.77211538461539,105.53365384615384
LTFH,20200305  10:20:00,104.05,104.05,104.6,104.5,104.66102071005918,105.39001479289941
LTFH,20200305  10:25:00,104.6,104.6,105.3,105.2,104.65163290851162,105.37616636322258
LTFH,20200305  10:30:00,105.35,105.0,105.65,105.15,104.70522784566367,105.4182946150345
LTFH,20200305  10:35:00,105.25,104.95,105.4,105.35,104.74288510017695,105.41548005887535
LTFH,20200305  10:40:00,105.3,105.05,105.8,105.7,104.79013354630357,105.47463697289453
LTFH,20200305  10:45:00,105.7,105.6,105.95,105.8,104.91472838533379,105.54776974629537
LTFH,20200305  10:50:00,105.9,105.6,106.0,105.75,105.02015478759013,105.6173436314807
LTFH,20200305  10:55:00,105.85,105.3,105.85,105.75,105.06320789719165,105.65313691894521
LTFH,20200305  11:00:00,105.8,105.8,106.35,106.15,105.17656052839293,105.76034662372287
LTFH,20200305  11:05:00,106.05,105.85,106.4,106.4,105.28016660094787,105.85875483545782
LTFH,20200305  11:10:00,106.5,106.25,107.0,106.45,105.42937173926357,106.03433101461815
LTFH,20200305  11:15:00,106.4,106.25,107.25,106.9,105.55562224091533,106.2213570123692
LTFH,20200305  11:20:00,106.85,106.7,107.4,107.25,105.73168035769758,106.40268670277393
LTFH,20200305  11:25:00,107.25,107.15,108.35,108.3,105.94988337959026,106.70227336388564
LTFH,20200305  11:30:00,108.3,107.6,108.65,107.8,106.20374747503791,107.00192361559554
LTFH,20200305  11:35:00,107.85,107.55,108.05,107.8,106.41086324810901,107.16316613627315
LTFH,20200305  11:40:00,107.75,107.6,108.0,107.85,106.59380736378455,107.29190980761574
LTFH,20200305  11:45:00,107.85,107.75,108.4,108.15,106.77168315397154,107.4623852218287
LTFH,20200305  11:50:00,108.2,107.85,108.4,108.0,106.93757805336053,107.60663364923967
LTFH,20200305  11:55:00,108.0,107.9,108.9,108.7,107.08564296822814,107.80561308781819
LTFH,20200305  12:00:00,108.7,108.45,109.5,108.95,107.2955440500392,108.06628799738462
