Symbol,Date,Open,High,Low,Close,EMA_High,EMA_Low
NCC,20200305  09:15:00,36.0,35.8,36.25,35.95,,
NCC,20200305  09:20:00,35.9,35.65,36.0,35.65,,
NCC,20200305  09:25:00,35.65,35.4,35.75,35.65,,
NCC,20200305  09:30:00,35.65,35.5,35.8,35.8,,
NCC,20200305  09:35:00,35.8,35.5,35.8,35.6,,
NCC,20200305  09:40:00,35.6,35.3,35.6,35.4,,
NCC,20200305  09:45:00,35.4,35.3,35.6,35.3,,
NCC,20200305  09:50:00,35.3,34.9,35.4,35.1,,
NCC,20200305  09:55:00,35.1,34.9,35.2,35.15,,
NCC,20200305  10:00:00,35.2,35.0,35.2,35.1,,
NCC,20200305  10:05:00,35.1,35.0,35.35,35.3,,
NCC,20200305  10:10:00,35.3,35.2,35.35,35.2,35.287499999999994,35.608333333333334
NCC,20200305  10:15:00,35.25,35.05,35.25,35.15,35.25096153846153,35.55320512820513
NCC,20200305  10:20:00,35.1,35.1,35.3,35.2,35.22773668639053,35.51425049309665
NCC,20200305  10:25:00,35.25,35.2,35.55,35.5,35.22346950386891,35.51975041723562
NCC,20200305  10:30:00,35.55,35.1,35.55,35.35,35.20447419558139,35.524404199199374
NCC,20200305  10:35:00,35.35,35.3,35.5,35.5,35.219170473184256,35.520649707014854
NCC,20200305  10:40:00,35.5,35.35,36.0,35.9,35.23929809269437,35.59439590593565
NCC,20200305  10:45:00,35.9,35.7,36.1,35.9,35.310175309202926,35.67218115117632
NCC,20200305  10:50:00,35.9,35.75,36.0,35.75,35.37784064624863,35.72261482022611
NCC,20200305  10:55:00,35.75,35.45,35.8,35.8,35.388942085287304,35.734520232499015
NCC,20200305  11:00:00,35.8,35.75,35.95,35.85,35.44448945678157,35.767670965960704
NCC,20200305  11:05:00,35.85,35.75,35.95,35.75,35.49149107881517,35.79572158658213
NCC,20200305  11:10:00,35.8,35.55,36.0,35.7,35.50049245130515,35.827149034800264
NCC,20200305  11:15:00,35.75,35.7,35.9,35.75,35.531185920335126,35.838356875600226
NCC,20200305  11:20:00,35.7,35.7,36.0,35.95,35.557157317206645,35.86322504858481
NCC,20200305  11:25:00,35.9,35.9,36.4,36.25,35.6099023453287,35.94580581034099
NCC,20200305  11:30:00,36.35,36.15,36.55,36.2,35.692994292201206,36.038758762596224
NCC,20200305  11:35:00,36.2,36.05,36.25,36.15,35.74791824724717,36.071257414504494
NCC,20200305  11:40:00,36.15,36.05,36.25,36.25,35.794392363055294,36.098756273811496
NCC,20200305  11:45:00,36.25,36.05,36.3,36.1,35.83371661489294,36.129716847071265
NCC,20200305  11:50:00,36.15,35.9,36.15,35.95,35.843914058755566,36.13283733213722
NCC,20200305  11:55:00,35.9,35.8,36.05,35.85,35.837158049716244,36.12009312719303
NCC,20200305  12:00:00,35.8,35.8,36.45,36.3,35.83144142668298,36.1708480307018
NCC,20200305  12:05:00,36.3,36.25,36.65,36.65,35.895835053347135,36.24456371828614
NCC,20200305  12:10:00,36.65,36.4,36.7,36.45,35.973398891293726,36.31463083854981
NCC,20200305  12:15:00,36.45,36.4,36.6,36.6,36.039029831094695,36.35853378646522
NCC,20200305  12:20:00,36.55,36.3,36.6,36.3,36.079179087849354,36.39568243470134
NCC,20200305  12:25:00,36.3,36.3,36.4,36.3,36.11315153587253,36.39634667551652
NCC,20200305  12:30:00,36.3,36.2,36.35,36.35,36.12651283804599,36.38921641774475
NCC,20200305  12:35:00,36.35,36.15,36.4,36.2,36.13012624757737,36.390875430399404
NCC,20200305  12:40:00,36.2,35.95,36.2,36.1,36.102414517180854,36.36150997956873
