Symbol,Date,Open,High,Low,Close,EMA_High,EMA_Low
TORNTPOWE,20200305  09:15:00,317.05,315.4,318.15,317.65,,
TORNTPOWE,20200305  09:20:00,317.6,317.0,318.3,317.2,,
TORNTPOWE,20200305  09:25:00,317.35,316.0,317.55,316.2,,
TORNTPOWE,20200305  09:30:00,316.15,315.5,317.35,317.15,,
TORNTPOWE,20200305  09:35:00,317.15,316.05,317.3,316.3,,
TORNTPOWE,20200305  09:40:00,316.2,315.2,316.45,315.6,,
TORNTPOWE,20200305  09:45:00,315.75,315.65,316.85,316.35,,
TORNTPOWE,20200305  09:50:00,316.3,315.2,316.45,315.55,,
TORNTPOWE,20200305  09:55:00,315.4,314.15,315.4,315.1,,
TORNTPOWE,20200305  10:00:00,315.05,314.3,315.05,314.5,,
TORNTPOWE,20200305  10:05:00,314.55,314.35,315.3,315.25,,
TORNTPOWE,20200305  10:10:00,315.35,315.0,315.85,315.45,315.31666666666666,316.6666666666667
TORNTPOWE,20200305  10:15:00,315.35,313.55,315.55,314.2,315.04487179487177,316.4948717948718
TORNTPOWE,20200305  10:20:00,314.0,313.75,314.55,314.5,314.84566074950686,316.19566074950694
TORNTPOWE,20200305  10:25:00,315.0,314.8,315.4,315.35,314.8386360188135,316.07325140342897
TORNTPOWE,20200305  10:30:00,315.15,314.3,315.95,315.35,314.755768938996,316.0542896490553
TORNTPOWE,20200305  10:35:00,315.5,315.35,315.8,315.55,314.8471891022274,316.01516816458525
TORNTPOWE,20200305  10:40:00,315.55,315.4,317.0,316.7,314.93223693265395,316.16668075464906
TORNTPOWE,20200305  10:45:00,316.65,316.4,317.35,317.25,315.1580466353226,316.34872986931845
TORNTPOWE,20200305  10:50:00,317.4,316.5,317.5,316.9,315.3645009991191,316.5258483509618
TORNTPOWE,20200305  10:55:00,316.45,316.2,317.2,317.0,315.49303930694697,316.62956398927537
TORNTPOWE,20200305  11:00:00,317.2,317.2,318.0,317.45,315.7556486443397,316.8404002986176
TORNTPOWE,20200305  11:05:00,317.6,317.25,318.0,317.6,315.9855488529028,317.01880025267644
TORNTPOWE,20200305  11:10:00,317.3,316.2,317.4,316.85,316.0185413370716,317.0774463676493
TORNTPOWE,20200305  11:15:00,316.55,316.4,316.95,316.5,316.07722728521446,317.0578392341648
TORNTPOWE,20200305  11:20:00,316.75,316.75,317.65,317.25,316.1807307797969,317.14894089044714
TORNTPOWE,20200305  11:25:00,317.6,317.25,318.9,318.85,316.3452337367512,317.4183345996091
TORNTPOWE,20200305  11:30:00,318.9,318.85,319.65,319.45,316.73058239263565,317.76166773813077
TORNTPOWE,20200305  11:35:00,319.4,318.55,319.4,318.8,317.0104927937686,318.01371885534144
TORNTPOWE,20200305  11:40:00,318.75,318.75,319.35,319.05,317.27810928703497,318.2193005699043
TORNTPOWE,20200305  11:45:00,319.1,318.75,319.95,319.7,317.5045540121065,318.48556202068823
TORNTPOWE,20200305  11:50:00,319.85,318.65,320.7,320.3,317.6807764717824,318.8262447867362
TORNTPOWE,20200305  11:55:00,320.3,319.8,320.75,320.4,318.00681086073894,319.1222071272383
TORNTPOWE,20200305  12:00:00,320.25,320.25,321.5,320.4,318.3519168821637,319.4880214153555
TORNTPOWE,20200305  12:05:00,320.8,320.1,320.9,320.9,318.62085274644625,319.70524888991616
TORNTPOWE,20200305  12:10:00,320.6,319.2,320.9,319.55,318.70995232391607,319.889056753006
TORNTPOWE,20200305  12:15:00,319.55,319.35,320.45,320.25,318.80842119715976,319.975355714082
