Symbol,Date,Open,High,Low,Close,EMA_High,EMA_Low
AXISBANK,20200305  09:15:00,686.85,685.85,690.35,687.15,,
AXISBANK,20200305  09:20:00,687.15,685.2,687.7,685.35,,
AXISBANK,20200305  09:25:00,685.45,683.85,686.6,685.4,,
AXISBANK,20200305  09:30:00,686.0,683.3,687.75,687.7,,
AXISBANK,20200305  09:35:00,687.7,686.05,688.8,687.55,,
AXISBANK,20200305  09:40:00,687.1,684.7,687.3,685.7,,
AXISBANK,20200305  09:45:00,685.75,685.2,688.2,687.55,,
AXISBANK,20200305  09:50:00,687.4,686.55,688.6,688.0,,
AXISBANK,20200305  09:55:00,687.45,683.95,687.75,685.75,,
AXISBANK,20200305  10:00:00,685.75,683.35,685.75,684.25,,
AXISBANK,20200305  10:05:00,684.15,683.4,686.2,685.35,,
AXISBANK,20200305  10:10:00,685.35,684.0,685.4,684.3,684.6166666666667,687.5333333333333
AXISBANK,20200305  10:15:00,684.0,679.8,684.0,680.75,683.875641025641,686.9897435897435
AXISBANK,20200305  10:20:00,680.5,680.35,682.0,681.85,683.333234714004,686.222090729783
AXISBANK,20200305  10:25:00,681.95,681.75,685.05,684.85,683.0896601426188,686.0417690790471
AXISBANK,20200305  10:30:00,684.7,682.35,685.55,682.7,682.9758662745236,685.9661122976552
AXISBANK,20200305  10:35:00,682.55,682.0,683.85,682.1,682.82573300152,685.6405565595544
AXISBANK,20200305  10:40:00,682.1,681.3,686.95,686.55,682.59100484744,685.842009396546
AXISBANK,20200305  10:45:00,686.8,685.55,690.8,690.55,683.0462348709108,686.6047771816927
AXISBANK,20200305  10:50:00,690.6,689.4,692.65,689.4,684.023737198463,687.5348114614324
AXISBANK,20200305  10:55:00,689.55,686.5,690.0,688.45,684.4047007063917,687.9140712365966
AXISBANK,20200305  11:00:00,688.25,687.4,690.3,687.6,684.8655159823314,688.2811372001971
AXISBANK,20200305  11:05:00,687.6,686.25,688.95,687.7,685.0785135235112,688.3840391693976
AXISBANK,20200305  11:10:00,687.4,685.0,687.85,686.8,685.0664345198941,688.3018792971826
AXISBANK,20200305  11:15:00,686.95,685.75,687.3,686.3,685.1715984399103,688.1477440206929
AXISBANK,20200305  11:20:00,686.7,686.0,687.6,687.05,685.2990448337703,688.0634757098171
AXISBANK,20200305  11:25:00,687.25,686.95,689.55,688.55,685.5530379362672,688.2921717544606
AXISBANK,20200305  11:30:00,688.55,688.5,693.9,690.3,686.006416715303,689.1549145614666
AXISBANK,20200305  11:35:00,690.25,689.15,691.0,689.9,686.4900449129486,689.4387738597026
AXISBANK,20200305  11:40:00,689.75,689.7,693.25,693.0,686.9838841571104,690.0251163428253
AXISBANK,20200305  11:45:00,693.0,690.0,693.25,690.15,687.4479019790934,690.521252290083
AXISBANK,20200305  11:50:00,690.05,688.2,690.3,688.7,687.5636093669252,690.487213476224
AXISBANK,20200305  11:55:00,688.7,688.1,689.8,688.1,687.6461310027829,690.3814883260358
AXISBANK,20200305  12:00:00,688.0,687.35,690.2,689.0,687.6005723869702,690.3535670451072
AXISBANK,20200305  12:05:00,689.1,688.5,690.0,688.55,687.7389458658978,690.2991721150906
AXISBANK,20200305  12:10:00,688.5,687.65,689.35,688.65,687.7252618865289,690.1531456358459
AXISBANK,20200305  12:15:00,688.65,688.6,690.6,689.75,687.859836980909,690.2218924611004
AXISBANK,20200305  12:20:00,689.7,688.1,690.25,688.55,687.8967851376922,690.2262166978542
AXISBANK,20200305  12:25:00,688.55,685.55,688.9,686.2,687.535741270355,690.0221833597227
AXISBANK,20200305  12:30:00,686.2,685.0,687.3,686.15,687.1456272287619,689.6033859197654
AXISBANK,20200305  12:35:00,686.2,683.6,686.2,684.8,686.6001461166447,689.0797880859553
AXISBANK,20200305  12:40:00,684.95,683.2,686.35,686.2,686.077046714084,688.659820688116
AXISBANK,20200305  12:45:00,686.2,686.0,687.5,687.5,686.0651933734557,688.4813867360982
AXISBANK,20200305  12:50:00,687.5,687.25,688.6,687.5,686.247471316001,688.4996349305446
AXISBANK,20200305  12:55:00,687.55,686.35,687.55,687.0,686.2632449596931,688.3535372489224
AXISBANK,20200305  13:00:00,686.95,686.1,687.8,687.4,686.2381303505096,688.2683776721651
AXISBANK,20200305  13:05:00,687.35,687.15,688.9,687.65,686.3784179888927,688.3655503379858
AXISBANK,20200305  13:10:00,687.8,686.85,688.2,687.5,686.4509690675246,688.3400810552188
AXISBANK,20200305  13:15:00,687.5,685.55,687.8,685.85,686.3123584417516,688.2569916621081
AXISBANK,20200305  13:20:00,685.8,685.4,686.8,685.75,686.171995604559,688.0328390987069
AXISBANK,20200305  13:25:00,685.8,684.75,686.45,685.3,685.9532270500115,687.7893253912135
AXISBANK,20200305  13:30:00,685.45,684.5,686.55,684.85,685.729653657702,687.5986599464114
AXISBANK,20200305  13:35:00,684.55,683.55,685.0,684.65,685.3943223257478,687.198866108502
AXISBANK,20200305  13:40:00,684.8,682.3,684.8,682.3,684.9182727371712,686.8298097841171
AXISBANK,20200305  13:45:00,682.35,681.0,683.75,681.8,684.3154615468371,686.355992894253
AXISBANK,20200305  13:50:00,681.75,680.8,684.3,684.05,683.7746213088622,686.0396862951371
AXISBANK,20200305  13:55:00,683.9,682.2,685.35,683.15,683.5323718767295,685.9335807112699
AXISBANK,20200305  14:00:00,683.0,681.9,683.75,682.9,683.281237741848,685.5976452172283
AXISBANK,20200305  14:05:00,682.75,682.3,684.3,683.3,683.130278089256,685.3980074915008
AXISBANK,20200305  14:10:00,683.3,682.1,683.35,682.2,682.971773767832,685.0829294158854
AXISBANK,20200305  14:15:00,682.25,682.1,683.3,682.85,682.8376547266271,684.8086325826722
AXISBANK,20200305  14:20:00,682.85,682.0,683.7,683.35,682.7087847686845,684.6380737237996
AXISBANK,20200305  14:25:00,683.2,680.1,683.35,680.95,682.30743326581,684.4399085355227
AXISBANK,20200305  14:30:00,680.9,678.9,681.75,681.0,681.7832127633777,684.0260764531346
AXISBANK,20200305  14:35:00,680.95,679.0,681.0,680.05,681.3550261843965,683.5605262295754
AXISBANK,20200305  14:40:00,679.5,679.1,681.3,681.25,681.0080990791047,683.2127529634869
AXISBANK,20200305  14:45:00,680.6,679.7,682.35,681.45,680.8068530669348,683.0800217383351
AXISBANK,20200305  14:50:00,681.4,679.6,681.9,679.85,680.6211833643295,682.8984799324373
AXISBANK,20200305  14:55:00,679.7,678.55,680.45,680.25,680.3025397698173,682.5217907120624
AXISBANK,20200305  15:00:00,680.35,678.2,680.45,679.4,679.9790721129223,682.2030536794374
AXISBANK,20200305  15:05:00,679.35,677.75,679.8,678.8,679.6361379417035,681.8333531133701
AXISBANK,20200305  15:10:00,679.0,676.45,679.0,677.3,679.1459628737491,681.3974526343901
AXISBANK,20200305  15:15:00,677.7,676.25,678.5,678.05,678.7004301239416,680.9516906906377
AXISBANK,20200305  15:20:00,678.1,677.5,678.6,677.6,678.5157485664121,680.5898921228473
AXISBANK,20200305  15:25:00,677.9,675.35,682.0,677.75,678.0287103254255,680.8068317962554
AXISBANK,20200306  09:15:00,658.35,641.9,658.35,650.15,672.470447198437,677.3519345968315
AXISBANK,20200306  09:20:00,650.15,645.0,651.7,648.5,668.2442245525236,673.4054831203958
AXISBANK,20200306  09:25:00,648.9,648.0,653.6,650.65,665.12972846752,670.3584857172581
AXISBANK,20200306  09:30:00,650.6,647.5,650.6,649.2,662.41746254944,667.3187186838337
AXISBANK,20200306  09:35:00,649.25,648.5,653.6,653.6,660.2763144649107,665.2081465786285
AXISBANK,20200306  09:40:00,653.55,650.45,654.3,653.4,658.7645737780014,663.5299701819165
AXISBANK,20200306  09:45:00,653.5,651.0,654.5,652.95,657.5700239660011,662.1407440000831
AXISBANK,20200306  09:50:00,652.95,651.7,653.8,652.1,656.6669433558471,660.857552615455
AXISBANK,20200306  09:55:00,652.05,650.5,654.95,654.25,655.7181828395629,659.9486983669235
AXISBANK,20200306  10:00:00,654.15,653.6,658.25,656.0,655.3923085565533,659.6873601566276
AXISBANK,20200306  10:05:00,656.05,656.0,658.35,657.35,655.4857995478528,659.4816124402233
AXISBANK,20200306  10:10:00,657.35,652.3,657.35,652.8,654.9956765404909,659.1536720648044
AXISBANK,20200306  10:15:00,652.7,652.0,654.25,653.95,654.5348032265692,658.3992609779114
AXISBANK,20200306  10:20:00,654.0,650.75,654.0,651.15,653.952525807097,657.7224515966942
AXISBANK,20200306  10:25:00,651.3,649.7,652.8,651.45,653.2982910675436,656.9651513510489
AXISBANK,20200306  10:30:00,651.45,650.5,652.5,652.5,652.8677847494599,656.2782049893491
AXISBANK,20200306  10:35:00,652.5,649.5,652.95,649.5,652.3496640187738,655.7661734525261
AXISBANK,20200306  10:40:00,649.5,649.4,652.5,652.2,651.895869554347,655.2636852290606
AXISBANK,20200306  10:45:00,652.2,650.0,652.2,650.8,651.6041973152167,654.7923490399743
AXISBANK,20200306  10:50:00,650.9,649.3,651.9,650.05,651.2497054205679,654.3473722645937
AXISBANK,20200306  10:55:00,650.05,649.6,651.7,650.25,650.9959045866344,653.940084223887
AXISBANK,20200306  11:00:00,650.6,650.35,652.1,651.15,650.8965346502291,653.6569943432889
AXISBANK,20200306  11:05:00,651.15,650.15,651.6,650.2,650.7816831655784,653.3405336750907
AXISBANK,20200306  11:10:00,650.25,648.6,651.45,650.7,650.4460396016433,653.0496823404613
AXISBANK,20200306  11:15:00,650.8,649.15,651.3,650.95,650.2466488936982,652.7805004419288
AXISBANK,20200306  11:20:00,651.2,649.5,651.6,651.0,650.1317798331293,652.5988849893243
AXISBANK,20200306  11:25:00,650.8,650.8,652.8,652.25,650.2345829357248,652.6298257601975
AXISBANK,20200306  11:30:00,652.25,650.15,653.0,650.45,650.2215701763826,652.686775643244
AXISBANK,20200306  11:35:00,650.55,650.1,652.6,651.6,650.2028670723237,652.6734255442834
AXISBANK,20200306  11:40:00,651.65,651.05,652.5,651.05,650.3331952150431,652.6467446913167
AXISBANK,20200306  11:45:00,651.35,649.25,651.65,651.0,650.1665497973441,652.4933993541911
AXISBANK,20200306  11:50:00,651.1,649.5,651.6,650.0,650.0640036746759,652.3559532997001
AXISBANK,20200306  11:55:00,649.95,649.1,652.0,651.4,649.9156954170335,652.3011912535924
AXISBANK,20200306  12:00:00,651.35,649.95,651.4,650.2,649.9209730451822,652.1625464453474
AXISBANK,20200306  12:05:00,650.05,649.2,650.2,649.65,649.8100541151542,651.8606162229863
AXISBANK,20200306  12:10:00,649.5,649.0,650.5,649.9,649.6854304051305,651.6512906502192
AXISBANK,20200306  12:15:00,649.85,648.75,650.15,649.3,649.5415180351105,651.4203228578777
AXISBANK,20200306  12:20:00,649.45,649.2,650.4,649.85,649.4889767989397,651.263350110512
AXISBANK,20200306  12:25:00,649.85,649.5,650.35,650.2,649.4906726760258,651.1228347088947
AXISBANK,20200306  12:30:00,650.25,650.25,653.9,652.6,649.6074922643296,651.5500909075263
AXISBANK,20200306  12:35:00,652.95,651.6,653.5,653.25,649.9140319159712,651.850076921753
AXISBANK,20200306  12:40:00,653.25,652.4,653.5,653.35,650.2964885442833,652.1039112414834
AXISBANK,20200306  12:45:00,653.3,652.55,653.45,653.25,650.6431826143936,652.3110018197167
AXISBANK,20200306  12:50:00,653.25,652.15,653.25,652.9,650.8750006737176,652.4554630782218
AXISBANK,20200306  12:55:00,652.9,652.8,654.9,654.25,651.1711544162226,652.8315456815723
